filename	p_cent_x	p_cent_y	 p_rad	i_cent_x	i_cent_y	 i_rad
eye_01.jpg	113.49	117.82	 22.09	109.99	120.57	 62.48
eye_02.jpg	143.34	117.77	 20.18	142.54	121.86	 63.33
eye_03.jpg	121.48	117.50	 24.26	117.25	118.37	 65.43
eye_04.jpg	115.11	103.82	 17.23	115.64	103.52	 65.58
eye_05.jpg	114.63	115.94	 22.18	113.63	112.94	 60.62
eye_06.jpg	141.06	109.47	 17.42	138.72	110.36	 62.63
eye_07.jpg	135.21	113.20	 18.16	137.60	114.08	 56.65
eye_08.jpg	141.17	146.70	  6.49	137.25	146.46	 35.81
eye_09.jpg	108.82	123.57	 17.14	106.83	123.41	 65.89
eye_10.jpg	134.64	128.89	 17.50	130.53	127.97	 58.24
eye_11.jpg	117.31	112.38	 20.37	119.02	111.34	 64.53
eye_12.jpg	108.27	117.72	 28.00	109.51	116.02	 58.11
eye_14.jpg	111.93	122.05	 20.17	114.89	121.36	 65.72
eye_15.jpg	133.12	129.72	 45.92	135.99	130.77	 77.33
eye_16.jpg	103.12	109.16	 17.45	102.57	113.93	 59.31
eye_17.jpg	137.21	115.50	 27.05	134.48	118.52	 74.42
eye_18.jpg	124.63	103.95	 21.53	126.00	103.00	 57.89
eye_21.jpg	105.13	144.85	  7.04	107.17	143.97	 33.41
eye_22.jpg	115.29	111.93	 21.70	117.93	113.76	 55.87
eye_23.jpg	113.57	117.30	 12.93	115.94	116.25	 38.35
eye_24.jpg	142.75	104.09	 15.64	145.46	107.66	 39.55
eye_25.jpg	128.12	131.72	  6.31	127.17	132.63	 23.35
eye_27.jpg	116.56	124.40	 26.26	114.26	124.30	 68.20
eye_28.jpg	123.32	116.43	 27.99	121.87	120.70	 72.86
eye_29.jpg	111.25	104.77	 23.65	115.10	106.67	 88.75
eye_30.jpg	121.00	120.83	 19.27	122.36	121.12	 61.47
eye_31.jpg	130.29	127.13	 22.26	135.26	128.89	 69.34
eye_32.jpg	113.51	123.42	 21.10	113.87	126.99	 64.87
eye_33.jpg	105.55	134.21	 20.61	100.19	136.81	 71.95
eye_34.jpg	154.39	124.58	 11.04	155.81	126.41	 51.15
eye_35.jpg	134.57	145.87	 14.66	132.92	146.44	 40.56
eye_36.jpg	106.62	137.78	 13.65	110.90	138.87	 48.95
eye_37.jpg	151.81	136.00	  4.84	149.95	135.32	 23.00
eye_38.jpg	117.26	125.84	 17.73	121.55	123.44	 68.06
eye_40.jpg	110.38	116.09	 16.85	110.78	120.01	 60.43
eye_41.jpg	119.89	133.38	 14.70	118.04	133.54	 61.52
eye_42.jpg	119.13	130.45	 13.66	124.19	130.82	 60.82
eye_44.jpg	115.54	91.27	 17.74	120.48	 93.76	 77.47
eye_45.jpg	114.37	114.79	 18.26	115.24	114.33	 36.30
eye_46.jpg	128.26	137.45	 12.26	130.08	138.97	 48.09
eye_47.jpg	132.51	122.38	 13.91	130.42	121.13	 64.78
eye_48.jpg	131.31	115.97	 20.63	128.23	113.70	 54.31
eye_49.jpg	177.46	116.76	 13.28	178.98	117.19	 49.96
eye_50.jpg	125.64	118.94	 15.56	123.66	122.98	 51.50
eye_51.jpg	118.19	134.57	 13.02	124.57	135.07	 49.74
eye_52.jpg	140.18	123.34	 22.45	144.12	123.06	 65.86
eye_53.jpg	111.01	112.59	 15.98	114.74	110.49	 48.57
eye_54.jpg	122.26	115.82	 15.94	125.69	117.29	 46.26
eye_55.jpg	128.04	112.02	 15.11	125.28	112.49	 45.00
eye_56.jpg	134.49	157.67	 10.40	133.22	161.39	 38.72
eye_57.jpg	106.17	131.75	 14.07	108.19	132.49	 31.16
eye_58.jpg	104.55	163.63	 7.37	108.11	110.95	 27.77
eye_59.jpg	112.91	126.15	 9.78	118.94	132.37	 32.43
eye_60.jpg	122.48	124.06	 31.04	120.72	123.33	 87.31
